date,code,side,amount,cost
2024-09-20,688721,buy,49885.0,114.7355
2024-09-20,300175,buy,49885.0,114.7355
2024-09-20,600611,buy,49885.0,114.7355
2024-09-20,688488,buy,49885.0,114.7355
2024-09-20,600193,buy,49885.0,114.7355
2024-09-20,002693,buy,49885.0,114.7355
2024-09-20,688331,buy,49885.0,114.7355
2024-09-20,833819,buy,49885.0,114.7355
2024-09-20,301511,buy,49885.0,114.7355
2024-09-20,603003,buy,49885.0,114.7355
2024-09-20,688629,buy,49885.0,114.7355
2024-09-20,300536,buy,49885.0,114.7355
2024-09-20,300343,buy,49885.0,114.7355
2024-09-20,300205,buy,49885.0,114.7355
2024-09-20,837092,buy,49885.0,114.7355
2024-09-20,688212,buy,49885.0,114.7355
2024-09-20,300836,buy,49885.0,114.7355
2024-09-20,000040,buy,49885.0,114.7355
2024-09-20,600696,buy,49885.0,114.7355
2024-09-20,601989,buy,49885.0,114.7355
2024-10-25,688721,sell,109171.78528827036,360.26689145129217
2024-10-25,300175,sell,69129.42887931032,228.12711530172405
2024-10-25,688488,sell,69809.03903903902,230.3698288288288
2024-10-25,688331,sell,69052.85303231516,227.87441500664005
2024-10-25,002693,sell,183911.0049261084,606.9063162561578
2024-10-25,301511,sell,63900.10096575947,210.87033318700625
2024-10-25,688629,sell,94031.69478527605,310.304592791411
2024-10-25,300205,sell,60970.55555555555,201.2028333333333
2024-10-25,837092,sell,118302.85755813959,390.3994299418606
2024-10-25,688212,sell,80371.938286399,265.2273963451167
2024-10-25,300836,sell,73375.5775122549,242.13940579044115
2024-10-25,000040,sell,54873.49999999997,181.0825499999999
2024-10-25,600193,sell,72683.12217194568,239.85430316742074
2024-10-25,833819,sell,86206.79723502301,284.4824308755759
2024-10-25,603003,sell,71052.08436724565,234.47187841191067
2024-10-25,300536,sell,84784.78260869562,279.78978260869553
2024-10-25,300343,sell,75949.91250000002,250.63471125000007
2024-10-25,600696,sell,115880.1699716714,382.40456090651566
2024-10-25,601989,sell,57328.86414253898,189.18525167037862
2024-10-25,002650,buy,84304.37739680988,193.90006801266273
2024-10-25,000506,buy,84304.37739680988,193.90006801266273
2024-10-25,000917,buy,84304.37739680988,193.90006801266273
2024-10-25,603535,buy,84304.37739680988,193.90006801266273
2024-10-25,000068,buy,84304.37739680988,193.90006801266273
2024-10-25,603656,buy,84304.37739680988,193.90006801266273
2024-10-25,600360,buy,84304.37739680988,193.90006801266273
2024-10-25,300532,buy,84304.37739680988,193.90006801266273
2024-10-25,600686,buy,84304.37739680988,193.90006801266273
2024-10-25,600635,buy,84304.37739680988,193.90006801266273
2024-10-25,002654,buy,84304.37739680988,193.90006801266273
2024-10-25,603172,buy,84304.37739680988,193.90006801266273
2024-10-25,600653,buy,84304.37739680988,193.90006801266273
2024-10-25,000058,buy,84304.37739680988,193.90006801266273
2024-10-25,603559,buy,84304.37739680988,193.90006801266273
2024-10-25,603268,buy,84304.37739680988,193.90006801266273
2024-10-25,002633,buy,84304.37739680988,193.90006801266273
2024-10-25,603991,buy,84304.37739680988,193.90006801266273
2024-10-25,600198,buy,84304.37739680988,193.90006801266273
2024-11-22,002650,sell,109375.28701481543,360.93844714889093
