,strategy,benchmark
2025-02-05,1383416.0125408662,1372881.9432255651
2025-02-06,1426119.1480208426,1405414.699065425
2025-02-07,1467405.9771188518,1425942.786946467
2025-02-10,1543322.9662474405,1452495.93256548
2025-02-11,1546089.887359834,1449968.15686309
2025-02-12,1561120.2345502963,1465298.9155361957
2025-02-13,1560749.0533883763,1450170.6085915798
2025-02-14,1545680.0216861446,1454312.873293183
2025-02-17,1597694.465987252,1472982.0861944978
2025-02-18,1548748.9926940734,1438177.4842599141
2025-02-19,1566102.4542821762,1470016.860303232
2025-02-20,1587666.1549036545,1484406.3065583955
2025-02-21,1598345.7578272263,1498376.1466923957
2025-02-24,1590371.518143134,1503029.8120870364
2025-02-25,1584882.0687878255,1496738.6868310773
2025-02-26,1602089.894492589,1518420.2816779707
2025-02-27,1603107.0101898452,1518167.7724276448
2025-02-28,1590999.1572841518,1471424.727346686
2025-03-03,1592198.3868905767,1480580.043351733
2025-03-04,1575866.6064996994,1501167.4511609843
2025-03-05,1558657.7505646846,1506093.6246749808
2025-03-06,1561548.8112641377,1530491.4941165112
2025-03-07,1535396.0853864118,1524377.2085215596
2025-03-10,1572262.3024122408,1534223.7676827065
2025-03-11,1569913.993036352,1541087.301534948
2025-03-12,1571604.438775673,1548455.797421339
2025-03-13,1557027.0169944987,1532102.375928535
2025-03-14,1597000.9637293294,1559529.0952417692
2025-03-17,1636412.5104192756,1569678.3902817308
2025-03-18,1643431.0537017402,1578353.338246189
2025-03-19,1606971.101860396,1566613.9393300242
2025-03-20,1594834.4898916855,1562473.044192594
2025-03-21,1596225.6436630245,1535545.769140819
2025-03-24,1444187.0128074018,1513495.237135493
2025-03-25,1361802.3730190946,1510285.9820632425
2025-03-26,1490513.1026461942,1524011.0350798182
2025-03-27,1477110.1904760422,1517312.2908058888
2025-03-28,1457145.2994755383,1495541.6355466265
2025-03-31,1443387.3526522948,1477866.994904501
2025-04-01,1454840.1287977616,1494761.814476186
2025-04-02,1441286.5158765174,1497955.2021581181
2025-04-03,1438895.6702752484,1489377.5195006202
2025-04-07,1273925.0294747367,1309298.5774101943
2025-04-08,1247986.813869445,1319444.6636502163
2025-04-09,1265907.1782633222,1356119.6338653853
2025-04-10,1318554.932550234,1394803.8428812171
2025-04-11,1341942.8300767825,1406568.461192616
2025-04-14,1384776.5642663261,1432868.5325138723
2025-04-15,1311830.7996516349,1433024.4557453336
2025-04-16,1355009.183399866,1412517.3090662418
